% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 18:09
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     0.6837973764000987
16100                     0.6829357873375129
16200                     0.68213710812106
16300                     0.6814026777169281
16400                     0.6807333430645358
16500                     0.6801294804444076
16600                     0.6795910244669281
16700                     0.6791175047747737
16800                     0.678708090319024
16900                     0.6783616407655906
17000                     0.6780767642195401
17100                     0.6778518800225495
17200                     0.6776852849005107
17300                     0.677575220233088
17400                     0.6775199377165062
17500                     0.6775177602339831
17600                     0.6775671343715226
17700                     0.6776666707663791
17800                     0.6778151683807285
17900                     0.6780116188750733
18000                     0.678255187516693
18100                     0.6785451674705956
18200                     0.6788809048370097
18300                     0.6792616923453205
18400                     0.6796866300946353
18500                     0.6801544520504345
18600                     0.6806633170333326
18700                     0.681210562570249
18800                     0.681792419055306
18900                     0.682403680017808
19000                     0.6830373216499688
19100                     0.6836840607336202
19200                     0.684331834164535
19300                     0.6849651746185101
19400                     0.6855644444333501
19500                     0.6861048720272455
19600                     0.6865553102348418
19700                     0.686876601491947
19800                     0.6870193882270317
19900                     0.6869211456487283
20000                     0.6865021372028641
