% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 06:13
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     0.6924985245634203
16100                     0.6928986264911295
16200                     0.6933013533979544
16300                     0.6937063231805021
16400                     0.6941131435320128
16500                     0.6945214115377175
16600                     0.6949307131733348
16700                     0.6953406226889378
16800                     0.6957507018571263
16900                     0.6961604990612549
17000                     0.6965695481953513
17100                     0.6969773673427748
17200                     0.6973834571952429
17300                     0.6977872991684884
17400                     0.6981883531635541
17500                     0.6985860549173438
17600                     0.6989798128783387
17700                     0.6993690045387875
17800                     0.6997529721508502
17900                     0.7001310177564898
18000                     0.7005023974682951
18100                     0.700866314962381
18200                     0.7012219141857908
18300                     0.7015682713571948
18400                     0.7019043864639064
18500                     0.7022291746558275
18600                     0.7025414582415948
18700                     0.7028399604499759
18800                     0.7031233027778478
18900                     0.7033900086901939
19000                     0.7036385177014953
19100                     0.7038672155182079
19200                     0.7040744878876302
19300                     0.7042588078697575
19400                     0.7044188678580298
19500                     0.7045537676993359
19600                     0.7046632667687089
19700                     0.7047480979598847
19800                     0.7048103217786164
19900                     0.7048536663961064
20000                     0.7048837559377988
