% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 06:28
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     0.5121209035104473
16100                     0.5047450122158816
16200                     0.4974579339872837
16300                     0.49026731427376163
16400                     0.4831798898902209
16500                     0.476201546145095
16600                     0.46933737672533116
16700                     0.4625917453714159
16800                     0.45596834854194707
16900                     0.4494702784267502
17000                     0.4431000858202712
17100                     0.4368598425009238
17200                     0.4307512028905447
17300                     0.42477546487843576
17400                     0.41893362979053406
17500                     0.41322646156380727
17600                     0.40765454524382855
17700                     0.402218344955123
17800                     0.39691826148955817
17900                     0.3917546896080193
18000                     0.3867280750331734
18100                     0.3818389709102188
18200                     0.37708809319328257
18300                     0.3724763739527409
18400                     0.36800501095385907
18500                     0.36367551100896317
18600                     0.35948972354300207
18700                     0.35544985957208536
18800                     0.35155848997906447
18900                     0.34781851579056383
19000                     0.3442331024801507
19100                     0.34080557067885775
19200                     0.33753923778267136
19300                     0.33443720961099976
19400                     0.3315021292108434
19500                     0.32873590144904274
19600                     0.3261394267461464
19700                     0.323712393629969
19800                     0.32145319495108116
19900                     0.31935904296279793
20000                     0.3174263603914706
