% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 06:16
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -0.5501803094408073
16100                     -0.5979176453073508
16200                     -0.6454710647942368
16300                     -0.6928312756006423
16400                     -0.7399896715066078
16500                     -0.7869383355597821
16600                     -0.8336700369789326
16700                     -0.8801782221400144
16800                     -0.9264570000793618
16900                     -0.9725011230136688
17000                     -1.0183059624331716
17100                     -1.0638674813821347
17200                     -1.1091822036021126
17300                     -1.1542471802783565
17400                     -1.1990599552135086
17500                     -1.2436185293532078
17600                     -1.2879213257220956
17700                     -1.3319671559968251
17800                     -1.3757551901644738
17900                     -1.4192849309900621
18000                     -1.4625561953644302
18100                     -1.5055691050181756
18200                     -1.5483240895758454
18300                     -1.5908219054695107
18400                     -1.6330636747966896
18500                     -1.6750509487388432
18600                     -1.716785800542737
18700                     -1.7582709531506142
18800                     -1.7995099461064084
18900                     -1.8405073450465808
19000                     -1.8812689944877585
19100                     -1.9218023102703963
19200                     -1.9621166014126816
19300                     -2.0022234018780494
19400                     -2.0421367807752913
19500                     -2.081873585261445
19600                     -2.1214535552942704
19700                     -2.1608992359417103
19800                     -2.2002356051245484
19900                     -2.2394893374046694
20000                     -2.2786876429461027
