% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 06:28
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -0.999157056182905
16100                     -1.0454877537818614
16200                     -1.0914406980290823
16300                     -1.1370226354537583
16400                     -1.1822407650610227
16500                     -1.2271026256115167
16600                     -1.271615986787175
16700                     -1.3157887443523473
16800                     -1.3596288193775374
16900                     -1.4031440615928175
17000                     -1.4463421570085437
17100                     -1.4892305400790493
17200                     -1.5318163109159286
17300                     -1.574106158405664
17400                     -1.6161062905798071
17500                     -1.6578223742611755
17600                     -1.6992594869156865
17700                     -1.7404220848249372
17800                     -1.7813139932175042
17900                     -1.821938425901525
18000                     -1.8622980442721133
18100                     -1.9023950682984019
18200                     -1.9422314551686066
18300                     -1.9818091644526838
18400                     -2.02113053154266
18500                     -2.060198773042352
18600                     -2.099018647626268
18700                     -2.1375972921250117
18800                     -2.1759452432013964
18900                     -2.2140776376239932
19000                     -2.2520155565741837
19100                     -2.2897874403159157
19200                     -2.3274304497541807
19300                     -2.3649915954832292
19400                     -2.40252840258446
19500                     -2.4401088458314018
19600                     -2.4778102938899815
19700                     -2.5157172601871234
19800                     -2.553917881514559
19900                     -2.5924992262926505
20000                     -2.6315417460785517
