% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 17:24
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -1.3711909981589396
16100                     -1.414512507632441
16200                     -1.4576248867680175
16300                     -1.5005451746166019
16400                     -1.5432894590326751
16500                     -1.5858727675348032
16600                     -1.6283089518894418
16700                     -1.6706105660185864
16800                     -1.7127887374454975
16900                     -1.754853033383348
17000                     -1.7968113238644763
17100                     -1.8386696461659457
17200                     -1.8804320774429681
17300                     -1.922100626224405
17400                     -1.9636751586367363
17500                     -2.00515338235422
17600                     -2.046530920831079
17700                     -2.087801522839899
17800                     -2.1289574680242906
17900                     -2.169990247903053
18000                     -2.2108916223913364
18100                     -2.251655171556961
18200                     -2.2922784753843857
18300                     -2.332766051334503
18400                     -2.373133146650118
18500                     -2.413410402554316
18600                     -2.4536492648304744
18700                     -2.493927804734553
18800                     -2.534356356298056
18900                     -2.575082131557629
19000                     -2.616291847723808
19100                     -2.6582115116214675
19200                     -2.701102939644268
19300                     -2.7452573215122866
19400                     -2.2183558780033668
19500                     -0.8369498307272001
19600                     -0.4785089379598155
19700                     -0.011073280669776189
19800                     -0.06643918939260206
19900                     0.29837474184944474
20000                     0.23593745532995453
