% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 06:12
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     0.18651528966312705
16100                     0.14789131465203662
16200                     0.10923644502406404
16300                     0.070550186835885
16400                     0.03183204676873695
16500                     -0.006918468363443549
16600                     -0.04570185212322
16700                     -0.08451859895978864
16800                     -0.12336920469444178
16900                     -0.16225416694946657
17000                     -0.20117398547439377
17100                     -0.24012916230914458
17200                     -0.27912020170022583
17300                     -0.31814760966261424
17400                     -0.35721189303785267
17500                     -0.39631355785640193
17600                     -0.435453106744881
17700                     -0.4746310350393415
17800                     -0.5138478251568548
17900                     -0.5531039386392219
18000                     -0.5923998051037676
18100                     -0.6317358071086134
18200                     -0.6711122596541668
18300                     -0.7105293826907649
18400                     -0.7499872645819753
18500                     -0.7894858139909684
18600                     -0.8290246971427141
18700                     -0.8686032569401517
18800                     -0.908220410105673
18900                     -0.9478745186483568
19000                     -0.9875632329199806
19100                     -1.027283306028632
19200                     -1.0670303844281621
19300                     -1.1067987885315083
19400                     -1.1465813119367425
19500                     -1.1863690899767843
19600                     -1.226151618354377
19700                     -1.2659170379783333
19800                     -1.3056528335727773
19900                     -1.34534710130003
20000                     -1.3849904916173759
