% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 18:09
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -0.7491501188968526
16100                     -0.7975977654323566
16200                     -0.846138094018362
16300                     -0.8947833825442129
16400                     -0.9435463349644854
16500                     -0.9924400995553315
16600                     -1.0414783074609621
16700                     -1.0906751351740667
16800                     -1.140045394507209
16900                     -1.1896046532825337
17000                     -1.2393693893462812
17100                     -1.2893571795501118
17200                     -1.3395869240028688
17300                     -1.3900791041953433
17400                     -1.440856071592083
17500                     -1.4919423610827527
17600                     -1.5433650214893861
17700                     -1.5951539533801709
17800                     -1.6473422430652631
17900                     -1.699966481158869
18000                     -1.7530670547906753
18100                     -1.8066884046253224
18200                     -1.8608792413810527
18300                     -1.9156927213799224
18400                     -1.9711865865236287
18500                     -2.027423280492377
18600                     -2.084470059401345
18700                     -2.1423991211170983
18800                     -2.201287782602572
18900                     -2.261218738920389
19000                     -2.3222804410239375
19100                     -2.384567632597766
19200                     -2.448182089463737
19300                     -2.513233608915207
19400                     -2.579841300938083
19500                     -1.6678428026323153
19600                     -0.9717815928209551
19700                     -0.7887022627770126
19800                     -0.45467392939900564
19900                     -0.2761250324872028
20000                     -0.09067496063400414
