% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 17:26
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -1.7569444095693083
16100                     -1.7951721900805455
16200                     -1.8334019378280193
16300                     -1.8716485485849443
16400                     -1.909925782450659
16500                     -1.9482461265682498
16600                     -1.9866206257113563
16700                     -2.025058674763196
16800                     -2.0635677658620333
16900                     -2.1021531816035637
17000                     -2.1408176242440984
17100                     -2.1795607695286714
17200                     -2.218378732913987
17300                     -2.2572634362003163
17400                     -2.2962018650256986
17500                     -2.3351752141843067
17600                     -2.374157931429597
17700                     -2.4131166963922
17800                     -2.452009417516153
17900                     -2.490784408738672
18000                     -2.5293800365038295
18100                     -2.5677253290467363
18200                     -2.6057423360714065
18300                     -2.6433514239243854
18400                     -2.6804811394165955
18500                     -2.7170845950818956
18600                     -2.7531641111398852
18700                     -2.7888044204454694
18800                     -2.8242114291401306
18900                     -2.859748529871873
19000                     -1.3623102211471003
19100                     -0.26839356744223886
19200                     -0.043556035626382
19300                     0.33689541306467813
19400                     0.5543424846668396
19500                     0.7570654086898421
19600                     0.6982540928686781
19700                     0.6318199799683715
19800                     0.9644594792104406
19900                     0.8773686499535602
20000                     0.775677750298963
