% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 06:15
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -0.1306357697785007
16100                     -0.17355868183209744
16200                     -0.216487395183964
16300                     -0.2594189047579216
16400                     -0.30235022767958925
16500                     -0.34527840707924984
16600                     -0.3882005158682206
16700                     -0.43111366078924607
16800                     -0.4740149871532028
16900                     -0.5169016848101265
17000                     -0.5597709960652737
17100                     -0.602620226444935
17200                     -0.6454467594435745
17300                     -0.6882480766466367
17400                     -0.7310217849222269
17500                     -0.7737656527036308
17600                     -0.8164776577440164
17700                     -0.8591560490906839
17800                     -0.9017994263843062
17900                     -0.9444068398993906
18000                     -0.9869779149572322
18100                     -1.0295130043850187
18200                     -1.0720133724802712
18300                     -1.114481413335162
18400                     -1.1569209052464002
18500                     -1.1993373011090258
18600                     -1.2417380519993857
18700                     -1.284132957438889
18800                     -1.3265345309922547
18900                     -1.3689583638962939
19000                     -1.4114234625131452
19100                     -1.4539525279526073
19200                     -1.4965721389001405
19300                     -1.5393127925248788
19400                     -1.5822087545656158
19500                     -1.625297669723421
19600                     -1.6686198886399326
19700                     -1.7122174789801505
19800                     -1.756132905770332
19900                     -1.8004073895245645
20000                     -1.8450789781882937
