% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 17:58
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -1.8868841671384042
16100                     -1.9573384564186629
16200                     -2.028094018336468
16300                     -2.0990055685164526
16400                     -2.1699180098485558
16500                     -2.240671561061034
16600                     -2.3111077439049663
16700                     -2.381075949195234
16800                     -2.450440220760252
16900                     -2.519085841068157
17000                     -2.5869252817011255
17100                     -2.653903102173207
17200                     -2.719999445071793
17300                     -2.785231883085427
17400                     -0.8479879279241639
17500                     0.016484885599615223
17600                     0.37686561900874743
17700                     0.3141947762231537
17800                     0.5164715658143519
17900                     0.7093253514690091
18000                     0.6468485839715099
18100                     0.992318353447458
18200                     0.9289004023417663
18300                     0.864673248457168
18400                     0.799410509648834
18500                     0.7328879265306192
18600                     0.9200755857288385
18700                     0.8503766204042682
18800                     0.9916014213418599
18900                     0.9178902520515636
19000                     0.8418796865284133
19100                     1.1039150210724349
19200                     1.2356052885416713
19300                     1.308462228785305
19400                     2.045101763488564
19500                     1.955218743400457
19600                     1.8622500081712745
19700                     1.7661778087144615
19800                     1.6670399583782252
19900                     1.5649413118909623
20000                     1.460065284155718
