% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 17:25
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -1.5856142050598176
16100                     -1.62621367249716
16200                     -1.6667093045243977
16300                     -1.707117934499287
16400                     -1.747455167954959
16500                     -1.7877352676973468
16600                     -1.8279710183816225
16700                     -1.868173568029219
16800                     -1.9083522439386087
16900                     -1.9485143406693008
17000                     -1.9886648783477627
17100                     -2.028806330794452
17200                     -2.068938325205969
17300                     -2.109057319006874
17400                     -2.1491562658339625
17500                     -2.1892242927041305
17600                     -2.229246425975782
17700                     -2.2692034270811297
17800                     -2.309071833088612
17900                     -2.348824345144618
18000                     -2.3884307723566742
18100                     -2.427859819670305
18200                     -2.46708209913634
18300                     -2.5060748247475595
18400                     -2.5448286794917503
18500                     -2.5833572467174877
18600                     -2.621709076299212
18700                     -2.659981815537397
18800                     -2.6983368718314757
18900                     -2.737012003188454
19000                     -2.776328570295743
19100                     -2.8166906248329946
19200                     -1.3249270808119598
19300                     -0.4925419823918104
19400                     -0.01923446529366417
19500                     0.35446824473645805
19600                     0.3008295593363739
19700                     0.5073532306001909
19800                     0.6990999270228494
19900                     0.6294385889450224
20000                     0.5523379983827931
